경력,기업형태,복리후생,기업수
신입,스타트업,G12,0 
신입,스타트업,G13,0 
신입,스타트업,G14,0 
신입,스타트업,G15,0 
신입,스타트업,G16,3 
신입,스타트업,G17,5 
신입,스타트업,G18,0 
신입,스타트업,G19,0 
신입,스타트업,G20,3 
신입,스타트업,H1,57 
신입,스타트업,H2,16 
신입,스타트업,H3,27 
신입,스타트업,H4,33 
신입,스타트업,H5,17 
신입,스타트업,H6,5 
신입,스타트업,H7,40 
신입,스타트업,H8,2 
신입,스타트업,H9,15 
신입,스타트업,H10,13 
신입,스타트업,H11,14 
신입,스타트업,H12,2 
신입,스타트업,H13,3 
신입,스타트업,H14,2 
신입,스타트업,H15,3 
신입,스타트업,H16,2 
신입,외국계(법인/투자),A1,39 
신입,외국계(법인/투자),A2,9 
신입,외국계(법인/투자),A3,0 
신입,외국계(법인/투자),A4,8 
신입,외국계(법인/투자),A5,36 
신입,외국계(법인/투자),A6,13 
신입,외국계(법인/투자),A7,7 
신입,외국계(법인/투자),A8,6 
신입,외국계(법인/투자),A9,2 
신입,외국계(법인/투자),A10,0 
신입,외국계(법인/투자),A11,1 
신입,외국계(법인/투자),A12,1 
신입,외국계(법인/투자),A13,2 
신입,외국계(법인/투자),A14,9 
신입,외국계(법인/투자),A15,1 
신입,외국계(법인/투자),A16,4 
신입,외국계(법인/투자),A17,3 
신입,외국계(법인/투자),A18,2 
신입,외국계(법인/투자),A19,0 
신입,외국계(법인/투자),A20,0 
신입,외국계(법인/투자),A21,17 
신입,외국계(법인/투자),A22,0 
신입,외국계(법인/투자),B1,17 
신입,외국계(법인/투자),B2,27 
신입,외국계(법인/투자),B3,12 
신입,외국계(법인/투자),B4,25 
신입,외국계(법인/투자),B5,25 
신입,외국계(법인/투자),B6,6 
신입,외국계(법인/투자),B7,40 
신입,외국계(법인/투자),B8,2 
신입,외국계(법인/투자),B9,11 
신입,외국계(법인/투자),B10,9 
신입,외국계(법인/투자),B11,12 
신입,외국계(법인/투자),B12,7 
신입,외국계(법인/투자),B13,4 
신입,외국계(법인/투자),B14,7 
신입,외국계(법인/투자),B15,0 
신입,외국계(법인/투자),B16,4 
신입,외국계(법인/투자),B17,44 
신입,외국계(법인/투자),C1,28 
신입,외국계(법인/투자),C2,8 
신입,외국계(법인/투자),C3,18 
신입,외국계(법인/투자),C4,1 
신입,외국계(법인/투자),C5,0 
신입,외국계(법인/투자),C6,0 
신입,외국계(법인/투자),C7,0 
신입,외국계(법인/투자),C8,1 
신입,외국계(법인/투자),C9,1 
신입,외국계(법인/투자),C10,0 
신입,외국계(법인/투자),D1,5 
신입,외국계(법인/투자),D2,10 
신입,외국계(법인/투자),D3,16 
신입,외국계(법인/투자),D4,4 
신입,외국계(법인/투자),D5,23 
신입,외국계(법인/투자),D6,20 
신입,외국계(법인/투자),D7,13 
신입,외국계(법인/투자),D8,5 
신입,외국계(법인/투자),D9,8 
신입,외국계(법인/투자),D10,0 
신입,외국계(법인/투자),D11,4 
신입,외국계(법인/투자),D12,7 
신입,외국계(법인/투자),D13,6 
신입,외국계(법인/투자),D14,4 
신입,외국계(법인/투자),D15,10 
